"","State","flu_like_deaths","detrended","detrended_flu_like","median","median_flu_like","Week.Ending.Date","Total.Deaths","data_set","MMWR.Week","centered","centered_flu_like","non_flu_deaths","detrended_non_flu_like","centered_non_flu_like"
"14","Alabama",11,947.379746835443,11,962.158227848101,18,2014-04-05,951,"2014-2019",14,-14.7784810126582,-7,940,936.379746835443,-7.77848101265818
"15","Alabama",16,920.101265822785,16,937.259493670886,20,2014-04-12,924,"2014-2019",15,-17.1582278481012,-4,908,904.101265822785,-13.1582278481012
"16","Alabama",15,981.822784810127,15,972.601265822785,20.5,2014-04-19,986,"2014-2019",16,9.22151898734171,-5.5,971,966.822784810127,14.7215189873417
"17","Alabama",18,909.544303797468,18,939.563291139241,18,2014-04-26,914,"2014-2019",17,-30.0189873417721,0,896,891.544303797468,-30.0189873417721
"18","Alabama",15,934.26582278481,15,931.645569620253,15.5,2014-05-03,939,"2014-2019",18,2.62025316455697,-0.499999999999998,924,919.26582278481,3.12025316455697
"19","Alabama",20,912.987341772152,20,911.867088607595,17.5,2014-05-10,918,"2014-2019",19,1.12025316455697,2.5,898,892.987341772152,-1.37974683544303
"20","Alabama",18,925.708860759494,18,921.867088607595,18.5,2014-05-17,931,"2014-2019",20,3.84177215189868,-0.5,913,907.708860759494,4.34177215189868
"21","Alabama",NA,893.430379746835,NA,899.96835443038,22,2014-05-24,899,"2014-2019",21,-6.53797468354435,NA,NA,NA,NA
"22","Alabama",11,934.151898734177,11,913.430379746835,14,2014-05-31,940,"2014-2019",22,20.7215189873418,-3,929,923.151898734177,23.7215189873418
"23","Alabama",13,934.873417721519,13,934.512658227848,14,2014-06-07,941,"2014-2019",23,0.360759493670912,-0.999999999999996,928,921.873417721519,1.36075949367091
"24","Alabama",20,870.594936708861,20,872.993670886076,14.5,2014-06-14,877,"2014-2019",24,-2.39873417721515,5.5,857,850.594936708861,-7.89873417721515
"25","Alabama",17,842.316455696203,17,909.594936708861,17,2014-06-21,849,"2014-2019",25,-67.2784810126583,0,832,825.316455696203,-67.2784810126583
"26","Alabama",16,841.037974683544,16,864.316455696203,16,2014-06-28,848,"2014-2019",26,-23.2784810126582,1.77635683940025e-15,832,825.037974683544,-23.2784810126582
"27","Alabama",12,857.759493670886,12,904.018987341772,16,2014-07-05,865,"2014-2019",27,-46.2594936708861,-4,853,845.759493670886,-42.2594936708861
"28","Alabama",12,857.481012658228,12,922.5,15,2014-07-12,865,"2014-2019",28,-65.0189873417721,-3,853,845.481012658228,-62.0189873417721
"29","Alabama",19,887.20253164557,19,891.481012658228,16.5,2014-07-19,895,"2014-2019",29,-4.27848101265829,2.5,876,868.20253164557,-6.77848101265829
"30","Alabama",11,873.924050632911,11,877.044303797468,21,2014-07-26,882,"2014-2019",30,-3.12025316455697,-10,871,862.924050632911,6.87974683544303
"31","Alabama",14,861.645569620253,14,890.664556962025,16.5,2014-08-02,870,"2014-2019",31,-29.0189873417721,-2.5,856,847.645569620253,-26.5189873417721
"32","Alabama",15,930.367088607595,15,909.424050632911,15.5,2014-08-09,939,"2014-2019",32,20.9430379746836,-0.499999999999998,924,915.367088607595,21.4430379746836
"33","Alabama",15,901.088607594937,15,887.886075949367,15,2014-08-16,910,"2014-2019",33,13.2025316455696,5.32907051820075e-15,895,886.088607594937,13.2025316455696
"34","Alabama",17,878.810126582278,17,877.208860759494,16,2014-08-23,888,"2014-2019",34,1.60126582278474,1,871,861.810126582278,0.601265822784738
"35","Alabama",15,850.53164556962,15,886.069620253165,18,2014-08-30,860,"2014-2019",35,-35.5379746835443,-3,845,835.53164556962,-32.5379746835443
"36","Alabama",NA,875.253164556962,NA,891.291139240506,16,2014-09-06,885,"2014-2019",36,-16.0379746835442,NA,NA,NA,NA
"37","Alabama",NA,873.974683544304,NA,895.474683544304,21,2014-09-13,884,"2014-2019",37,-21.5,NA,NA,NA,NA
"38","Alabama",18,891.696202531646,18,927.715189873418,15.5,2014-09-20,902,"2014-2019",38,-36.0189873417722,2.5,884,873.696202531646,-38.5189873417722
"39","Alabama",19,931.417721518987,19,903.474683544304,19,2014-09-27,942,"2014-2019",39,27.9430379746835,3.5527136788005e-15,923,912.417721518987,27.9430379746835
"40","Alabama",14,862.139240506329,14,884.677215189873,13.5,2014-10-04,873,"2014-2019",40,-22.5379746835442,0.5,859,848.139240506329,-23.0379746835442
"41","Alabama",12,912.860759493671,12,893.259493670886,17,2014-10-11,924,"2014-2019",41,19.6012658227849,-5,912,900.860759493671,24.6012658227848
"42","Alabama",19,925.582278481013,19,917.721518987342,19,2014-10-18,937,"2014-2019",42,7.8607594936708,0,918,906.582278481013,7.8607594936708
"43","Alabama",14,903.303797468354,14,913.183544303797,17,2014-10-25,915,"2014-2019",43,-9.87974683544303,-3,901,889.303797468354,-6.87974683544303
"44","Alabama",13,961.025316455696,13,883.803797468354,16.5,2014-11-01,973,"2014-2019",44,77.2215189873418,-3.5,960,948.025316455696,80.7215189873418
"45","Alabama",18,892.746835443038,18,924.506329113924,16,2014-11-08,905,"2014-2019",45,-31.7594936708861,2,887,874.746835443038,-33.7594936708861
"46","Alabama",14,967.46835443038,14,975.088607594937,21,2014-11-15,980,"2014-2019",46,-7.62025316455697,-7,966,953.46835443038,-0.620253164556971
"47","Alabama",25,944.189873417722,25,952.987341772152,19,2014-11-22,957,"2014-2019",47,-8.79746835443041,6,932,919.189873417722,-14.7974683544304
"48","Alabama",23,972.911392405063,23,975.810126582278,19,2014-11-29,986,"2014-2019",48,-2.89873417721515,4,963,949.911392405063,-6.89873417721515
"49","Alabama",20,981.632911392405,20,989.911392405063,20.5,2014-12-06,995,"2014-2019",49,-8.27848101265818,-0.5,975,961.632911392405,-7.77848101265818
"50","Alabama",28,1022.35443037975,28,1000.39240506329,26.5,2014-12-13,1036,"2014-2019",50,21.9620253164558,1.5,1008,994.354430379747,20.4620253164558
"51","Alabama",26,1103.07594936709,26,1037.83544303797,28,2014-12-20,1117,"2014-2019",51,65.2405063291142,-2,1091,1077.07594936709,67.2405063291142
"52","Alabama",40,1052.79746835443,40,1016.83544303797,24.5,2014-12-27,1067,"2014-2019",52,35.9620253164557,15.5,1027,1012.79746835443,20.4620253164556
"53","Alabama",44,1089.51898734177,44,1089.51898734177,44,2015-01-03,1104,"2014-2019",53,0,0,1060,1045.51898734177,0
"54","Alabama",48,1124.24050632911,48,1067.13924050633,33.5,2015-01-10,1139,"2014-2019",1,57.1012658227849,14.5,1091,1076.24050632911,42.6012658227849
"55","Alabama",41,1124.96202531646,41,1081.36075949367,35,2015-01-17,1140,"2014-2019",2,43.6012658227849,6,1099,1083.96202531646,37.6012658227849
"56","Alabama",26,1027.6835443038,26,1034.22151898734,32.5,2015-01-24,1043,"2014-2019",3,-6.53797468354446,-6.5,1017,1001.6835443038,-0.0379746835444621
"57","Alabama",22,1060.40506329114,22,1005.54430379747,23,2015-01-31,1076,"2014-2019",4,54.8607594936708,-1,1054,1038.40506329114,55.8607594936708
"58","Alabama",34,1094.12658227848,34,1056.26582278481,23.5,2015-02-07,1110,"2014-2019",5,37.8607594936709,10.5,1076,1060.12658227848,27.3607594936709
"59","Alabama",37,1053.84810126582,37,1035.88607594937,31.5,2015-02-14,1070,"2014-2019",6,17.9620253164558,5.5,1033,1016.84810126582,12.4620253164558
"60","Alabama",23,1050.56962025316,23,1032.38607594937,27,2015-02-21,1067,"2014-2019",7,18.1835443037976,-4,1044,1027.56962025316,22.1835443037976
"61","Alabama",39,1085.29113924051,39,1014.10759493671,30,2015-02-28,1102,"2014-2019",8,71.1835443037974,9,1063,1046.29113924051,62.1835443037974
"62","Alabama",24,1190.01265822785,24,974.810126582278,28,2015-03-07,1207,"2014-2019",9,215.20253164557,-4,1183,1166.01265822785,219.20253164557
