Name,Launch date (YYYY-MM-DD),Status,Action
STARLINK-3321,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3323,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3333,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3335,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3353,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3355,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3232,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3348,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3347,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3338,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3349,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3324,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3234,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3342,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3341,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3336,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3327,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3339,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3346,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3343,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3334,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3340,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3332,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3337,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3329,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3290,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3294,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3278,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3299,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3328,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3316,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3331,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3310,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3330,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3318,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3322,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3320,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3295,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3300,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3302,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3325,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3326,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3230,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3308,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3319,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3315,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3311,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3312,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3314,2022-01-06,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FOSSASAT2E2,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E1,2022-01-13,IN ORBIT,TRACK IT
UMBRA-02,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E4,2022-01-13,IN ORBIT,TRACK IT
OBJECT E,2022-01-13,IN ORBIT,TRACK IT
OBJECT F,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E3,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E6,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 8,2022-01-13,IN ORBIT,TRACK IT
ION SCV-004,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 44,2022-01-13,IN ORBIT,TRACK IT
MDASAT-1A,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 2,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 20,2022-01-13,IN ORBIT,TRACK IT
OBJECT Q,2022-01-13,IN ORBIT,TRACK IT
OBJECT R,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 30,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E5,2022-01-13,IN ORBIT,TRACK IT
KEPLER-18 (BLIP-A),2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 22,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 5,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 41,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 3,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 18,2022-01-13,IN ORBIT,TRACK IT
ICEYE-X16,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 37,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 15,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 29,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 27,2022-01-13,IN ORBIT,TRACK IT
OBJECT AF,2022-01-13,IN ORBIT,TRACK IT
SATLLA-2B,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 12,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 25,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 1,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 42,2022-01-13,IN ORBIT,TRACK IT
OBJECT AM,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 16,2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 RAMONAMAE,2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 KING-JULIEN,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 38,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 32,2022-01-13,IN ORBIT,TRACK IT
GRIZU 263A,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 26,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 43,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 13,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 39,2022-01-13,IN ORBIT,TRACK IT
SICH-2-1,2022-01-13,IN ORBIT,TRACK IT
SANOSAT-1,2022-01-13,IN ORBIT,TRACK IT
UNICORN-2D,2022-01-13,IN ORBIT,TRACK IT
OBJECT BB,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 23,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 17,2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 ROHOVITHSA,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 10,2022-01-13,IN ORBIT,TRACK IT
MDASAT-1C,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 36,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 21,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 31,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 34,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 6,2022-01-13,IN ORBIT,TRACK IT
IRIS-A,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 28,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 19,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 9,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 35,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 11,2022-01-13,IN ORBIT,TRACK IT
MDASAT-1B,2022-01-13,IN ORBIT,TRACK IT
KEPLER-19,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 40,2022-01-13,IN ORBIT,TRACK IT
HYPSO-1,2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 MIRIWARI,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 33,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 24,2022-01-13,IN ORBIT,TRACK IT
KEPLER-16 (ASTRAEUS),2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 DJIRANG,2022-01-13,IN ORBIT,TRACK IT
KEPLER-17 (KARINA),2022-01-13,IN ORBIT,TRACK IT
ETV-A1,2022-01-13,IN ORBIT,TRACK IT
BRO-5,2022-01-13,IN ORBIT,TRACK IT
OBJECT CG,2022-01-13,IN ORBIT,TRACK IT
OBJECT CH,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 4,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 7,2022-01-13,IN ORBIT,TRACK IT
FLOCK 4X 14,2022-01-13,IN ORBIT,TRACK IT
DEWASAT-1,2022-01-13,IN ORBIT,TRACK IT
OBJECT CN,2022-01-13,IN ORBIT,TRACK IT
OBJECT CP,2022-01-13,IN ORBIT,TRACK IT
ICEYE-X14,2022-01-13,IN ORBIT,TRACK IT
CAPELLA-8 (WHITNEY),2022-01-13,IN ORBIT,TRACK IT
CAPELLA-7 (WHITNEY),2022-01-13,IN ORBIT,TRACK IT
OBJECT CT,2022-01-13,IN ORBIT,TRACK IT
DELFI-PQ,2022-01-13,IN ORBIT,TRACK IT
USA 320,2022-01-13,IN ORBIT,TRACK IT
OBJECT CW,2022-01-13,IN ORBIT,TRACK IT
USA 321,2022-01-13,IN ORBIT,TRACK IT
USA 322,2022-01-13,IN ORBIT,TRACK IT
USA 323,2022-01-13,IN ORBIT,TRACK IT
HADES,2022-01-13,IN ORBIT,TRACK IT
EASAT-2,2022-01-13,IN ORBIT,TRACK IT
OBJECT DC,2022-01-13,IN ORBIT,TRACK IT
OBJECT DD,2022-01-13,IN ORBIT,TRACK IT
DODONA,2022-01-13,IN ORBIT,TRACK IT
VZLUSAT-2,2022-01-13,IN ORBIT,TRACK IT
LABSAT,2022-01-13,IN ORBIT,TRACK IT
STORK-1,2022-01-13,IN ORBIT,TRACK IT
STORK-2,2022-01-13,IN ORBIT,TRACK IT
SW1FT,2022-01-13,IN ORBIT,TRACK IT
OBJECT A,2022-01-13,IN ORBIT,TRACK IT
TECHEDSAT 13,2022-01-13,IN ORBIT,TRACK IT
OBJECT C,2022-01-13,IN ORBIT,TRACK IT
GEARRS-3,2022-01-13,IN ORBIT,TRACK IT
STORK-3,2022-01-13,IN ORBIT,TRACK IT
STEAMSAT-2,2022-01-13,IN ORBIT,TRACK IT
LEMUR 2 KRYWE,2022-01-13,IN ORBIT,TRACK IT
LAUNCHERONE R/B,2022-01-13,IN ORBIT,TRACK IT
SHIYAN 13 (SY-13),2022-01-17,IN ORBIT,TRACK IT
CZ-2D R/B,2022-01-17,IN ORBIT,TRACK IT
STARLINK-3366,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3350,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3176,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3368,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3362,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3358,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3344,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3173,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3374,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3372,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3375,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3397,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3243,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3391,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3394,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3390,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3398,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3399,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3373,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3392,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3389,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3387,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3386,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3370,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3400,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3396,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3395,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3388,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3393,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3356,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3183,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3363,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3253,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3180,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3177,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3172,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3175,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3179,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3369,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3184,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3185,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3365,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3354,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3352,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3359,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3360,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3357,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3361,2022-01-19,IN ORBIT,TRACK IT
STARLINK-3364,2022-01-19,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-01-19,DECAYED,
FALCON 9 DEB,2022-01-19,DECAYED,
FALCON 9 DEB,2022-01-19,DECAYED,
FALCON 9 DEB,2022-01-19,DECAYED,
USA 324,2022-01-21,IN ORBIT,TRACK IT
USA 325,2022-01-21,IN ORBIT,TRACK IT
ATLAS 5 CENTAUR R/B,2022-01-21,IN ORBIT,TRACK IT
LT-1 O1A,2022-01-25,IN ORBIT,TRACK IT
CZ-4C R/B,2022-01-25,IN ORBIT,TRACK IT
CZ-4C DEB,2022-01-25,DECAYED,
CSG-2,2022-01-31,IN ORBIT,TRACK IT
USA 326,2022-02-02,IN ORBIT,TRACK IT
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3167,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3181,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3166,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3419,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3189,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3401,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3178,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3174,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3182,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3XXX,2022-02-03,DECAYED,
STARLINK-3165,2022-02-03,IN ORBIT,TRACK IT
STARLINK-3415,2022-02-03,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-03,DECAYED,
FALCON 9 DEB,2022-02-03,DECAYED,
FALCON 9 DEB,2022-02-03,DECAYED,
FALCON 9 DEB,2022-02-03,DECAYED,
COSMOS 2553,2022-02-05,IN ORBIT,TRACK IT
ONEWEB-0410,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0411,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0415,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0416,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0422,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0423,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0425,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0428,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0431,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0434,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0435,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0436,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0438,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0439,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0442,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0443,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0444,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0445,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0446,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0448,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0449,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0451,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0452,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0455,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0456,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0457,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0458,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0461,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0463,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0464,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0468,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0473,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0474,2022-02-10,IN ORBIT,TRACK IT
ONEWEB-0475,2022-02-10,IN ORBIT,TRACK IT
EOS-4,2022-02-14,IN ORBIT,TRACK IT
INSPIRESAT-1,2022-02-14,IN ORBIT,TRACK IT
INS-2TD,2022-02-14,IN ORBIT,TRACK IT
PSLV R/B,2022-02-14,IN ORBIT,TRACK IT
PROGRESS MS-19,2022-02-15,IN ORBIT,TRACK IT
SL-4 R/B,2022-02-15,DECAYED,
CYGNUS NG-17,2022-02-19,IN ORBIT,TRACK IT
ANTARES R/B,2022-02-19,DECAYED,
STARLINK-3528,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3533,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3543,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3445,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3546,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3540,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3526,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3524,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3535,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3531,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3529,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3522,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3527,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3532,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3448,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3523,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3530,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3514,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3518,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3525,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3450,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3517,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3447,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3509,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3515,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3516,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3500,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3520,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3521,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3512,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3452,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3449,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3502,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3446,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3501,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3451,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3505,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3506,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3511,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3507,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3457,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3460,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3513,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3459,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3458,2022-02-21,IN ORBIT,TRACK IT
STARLINK-3456,2022-02-21,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-21,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-21,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-21,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-21,IN ORBIT,TRACK IT
ANTARES DEB,2022-02-19,DECAYED,
STARLINK-3622,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3621,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3612,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3614,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3623,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3624,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3629,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3620,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3608,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3625,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3615,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3611,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3617,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3580,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3616,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3628,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3632,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3646,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3638,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3619,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3641,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3639,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3631,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3602,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3626,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3633,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3573,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3586,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3630,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3627,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3634,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3637,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3600,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3592,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3557,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3544,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3601,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3605,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3581,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3606,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3609,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3607,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3613,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3569,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3610,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3552,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3599,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3604,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3603,2022-02-25,IN ORBIT,TRACK IT
STARLINK-3596,2022-02-25,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-25,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-25,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-25,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-02-25,IN ORBIT,TRACK IT
LT-1 O1B,2022-02-26,IN ORBIT,TRACK IT
CZ-4C R/B,2022-02-26,IN ORBIT,TRACK IT
OBJECT A,2022-02-27,IN ORBIT,TRACK IT
OBJECT B,2022-02-27,IN ORBIT,TRACK IT
OBJECT C,2022-02-27,IN ORBIT,TRACK IT
OBJECT D,2022-02-27,IN ORBIT,TRACK IT
OBJECT E,2022-02-27,IN ORBIT,TRACK IT
OBJECT F,2022-02-27,IN ORBIT,TRACK IT
OBJECT G,2022-02-27,IN ORBIT,TRACK IT
OBJECT H,2022-02-27,IN ORBIT,TRACK IT
OBJECT J,2022-02-27,IN ORBIT,TRACK IT
OBJECT K,2022-02-27,IN ORBIT,TRACK IT
OBJECT L,2022-02-27,IN ORBIT,TRACK IT
OBJECT M,2022-02-27,IN ORBIT,TRACK IT
OBJECT N,2022-02-27,IN ORBIT,TRACK IT
OBJECT P,2022-02-27,IN ORBIT,TRACK IT
OBJECT Q,2022-02-27,IN ORBIT,TRACK IT
OBJECT R,2022-02-27,IN ORBIT,TRACK IT
OBJECT S,2022-02-27,IN ORBIT,TRACK IT
OBJECT T,2022-02-27,IN ORBIT,TRACK IT
OBJECT U,2022-02-27,IN ORBIT,TRACK IT
OBJECT V,2022-02-27,IN ORBIT,TRACK IT
OBJECT W,2022-02-27,IN ORBIT,TRACK IT
OBJECT X,2022-02-27,IN ORBIT,TRACK IT
OBJECT Y,2022-02-27,IN ORBIT,TRACK IT
STRIX-BETA,2022-02-28,IN ORBIT,TRACK IT
ELECTRON KICK STAGE R/B,2022-02-28,IN ORBIT,TRACK IT
ELECTRON R/B,2022-02-28,DECAYED,
GOES 18,2022-03-01,IN ORBIT,TRACK IT
ATLAS 5 CENTAUR R/B,2022-03-01,IN ORBIT,TRACK IT
STARLINK-3542,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3539,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3541,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3545,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3568,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3571,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3563,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3560,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3559,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3562,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3508,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3555,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3548,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3503,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3553,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3590,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3578,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3588,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3591,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3567,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3554,2022-03-03,IN ORBIT,TRACK IT
STARLINK-3582,2022-03-03,IN ORBIT,TRACK IT
